LINE	NUM	ROOM	CHAR	Acte	TEXT_FR	TEXT_EN	INTEGRATION DES METADONNEES
A01N02_Geo_CUI_01290	01290	CUISINE	Geoffroy 	A01N02	 Je suis très offensé par ce qu’il vient de se passer. Comment pouvez-vous accepter de mettre en place une manœuvre aussi vile ? M. Briant vous demande de l’aider à tromper Abigail, de lui faire croire qu’il s’intéresse vraiment à elle, alors qu’il ne connait rien d’elle et n’est pas capable de tenir une conversation sans votre aide ! Abigail mérite bien mieux que ça. Et puis vous ne savez rien de ses intentions ! Qu’est-ce qui vous dit qu’il ne veut pas simplement l’épouser pour avoir un droit sur son héritage ? Dix ans qu’il ne donne plus de nouvelles, et le voilà qui se ramène comme par hasard en cette période de deuil ! Je ne fais confiance ni à lui, ni à vous après ce que je viens de voir. Ne comptez plus sur mon aide. <color=#787981ff>Si vous faites le moindre signe envers Ernest, je ne répondrai plus de moi. Vous êtes prévenu#e||•e#.</color>	I am very offended by what just happened. How could you accept to participate to such a vile manoeuver? Mr. Briant is asking you to deceive Abigail, to let her believe he has a real interest for her, when he really knows nothing of her and can’t hold a conversation with her by himself! How can you be sure he doesn’t just want to court her for her money? After ten years of silence, he just comes back randomly in this mourning period? I do not trust him, nor you, after what I just heard. Do not count on my help anymore. <color=#787981ff>If I see you speak with Ernest again, I will not let it pass. Consider yourself warned. </color>	Done
A01N02_NAR_CUI_01300	01300	CUISINE	NARRATEUR 	A01N02	 Geoffroy disparait.	Geoffroy disappears.	Done
A01N02_NAR_CUI_01310	01310	CUISINE	NARRATEUR 	A01N02	 Il ne m’a même pas laissé le temps de me justifier…	He didn’t even leave me time to justify myself…	Done
A01N02_Geo_CUI_01320	01320	CUISINE	Geoffroy 	A01N02	 Je suis très offensé par ce qu’il vient de se passer. Comment pouvez-vous accepter de laisser M. Briant à mettre en place une manœuvre aussi vile ? Il vous demande de le laisser tromper Abigail, et vous acceptez de vous taire ! J’ai honte de vous. Abigail mérite bien mieux que ça. Je ne fais confiance ni à lui, ni à vous après ce que je viens de voir. Ne comptez plus sur mon aide.  Et puisque vous ne comptez rien faire, <color=#787981ff>je vais prendre les choses entre mes propres mains.</color>	I am very offended by what just happened. How could you accept to let Mr. Briant organize such a vile manoeuver? He is asking you to let him deceive Abigail, and you accept to stay quiet about it! I’m very ashamed of you. Abigail deserves better than that. I do not trust him, nor you, after what I just heard. Do not count on my help anymore. And since you will not do anything, <color=#787981ff>I will take things into my own hands. </color>	Done
A01N02_Geo_CUI_01330	01330	CUISINE	Geoffroy disparait.	A01N02		Geoffroy disappears.	Done
A01N02_NAR_CUI_01340	01340	CUISINE	NARRATEUR 	A01N02	 Il ne m’a même pas laissé le temps de me justifier…	He didn’t even leave me time to justify myself…	Done
A01N02_Geo_CUI_01350	01350	CUISINE	Geoffroy 	A01N02	 Je vais me permettre de vous remercier. Je n’ai pas particulièrement confiance en M. Briant. Dix ans de silence avant de revenir comme par hasard en cette période de deuil… Quand Léontine m’a appris qu’il comptait lui faire la cour, j’avoue que j’ai très vite été suspicieux. Je suis heureux de savoir que quelqu’un d’autre reste sur ses gardes et ne s’arrête pas à ses jolis discours, sans avoir peur de le vexer. Heureux aussi de voir que vous défendez Abigail, et que vous ne la laisserez pas se faire tromper par cet être abject. Merci beaucoup. Je ne vais pas vous déranger plus longtemps.	I’ll step over my boundaries to thank you. I do not particularly trust Mr. Briant. After ten years of silence, he just comes back randomly in this mourning period… When Léontine told me he meant to court Abigail, I must say I became very suspicious. I’m glad someone else is also staying on guard and will not stop at his nice speeches. I’m glad you’re not afraid to displease him. I’m also glad to see you defending Abigail, and to know you will not let her be deceived by this abject being. Thank you so much. I will not disturb you any longer.	Done
A01N02_NAR_CUI_01360	01360	CUISINE	NARRATEUR 	A01N02	 Geoffroy disparait.	Geoffroy disappears.	Done
A01N02_NAR_CUI_01370	01370	CUISINE	NARRATEUR 	A01N02	 Il ne m’a même pas laissé le temps de répondre… Mais ça fait plaisir de savoir que quelqu’un est de mon côté.	He didn’t even leave me time to answer… But it’s nice to know someone is on my side.	Done
A01N02_Geo_CUI_01380	01380	CUISINE	Geoffroy 	A01N02	 Je vais me permettre de vous remercier. Je n’ai pas particulièrement confiance en M. Briant. Dix ans de silence avant de revenir comme par hasard en cette période de deuil… Quand Léontine m’a appris qu’il comptait faire la cour à Abigail, j’avoue que j’ai très vite été suspicieux. L’aime-t-il vraiment, ou veut-il simplement un droit sur son héritage ? Je suis heureux de savoir que quelqu’un d’autre reste sur ses gardes et ne s’arrête pas à ses jolis discours, sans avoir peur de le vexer. Merci beaucoup. Je ne vais pas vous déranger plus longtemps.	I’ll step over my boundaries to thank you. I do not particularly trust Mr. Briant. After ten years of silence, he just comes back randomly in this mourning period… When Léontine told me he meant to court Abigail, I must say I became very suspicious. Does he really love her, or is he only there for the money? I’m glad someone else is also staying on guard and will not stop at his nice speeches. I’m glad you’re not afraid to displease him. Thank you so much. I will not disturb you any longer.	Done
A01N02_NAR_CUI_01390	01390	CUISINE	NARRATEUR 	A01N02	 Geoffroy disparait.	Geoffroy disappears.	Done
A01N02_NAR_CUI_01400	01400	CUISINE	NARRATEUR 	A01N02	 Il ne m’a même pas laissé le temps de répondre… Mais ça fait plaisir de savoir que quelqu’un est de mon côté.	He didn’t even leave me time to answer… But it’s nice to know someone is on my side.	Done
A01N02_Léo_HAL_01410	01410	HALL	Léontine 	A01N02	 #Mme|M.|Mx# Luong ? J’ai vu Ernest partir vers le salon avec des allumettes et un bidon d’essence… Cela m’inquiète. A votre place, j’irai voir ce qu’il en est.	#Mrs.|Mr.|Mx.# Luong ? I just saw Ernest go to the sittin’ room with matches and a barrel of fuel. I’m worried. If I were you, I’d go see what’s goin’ on.	Done
A01N02_Kim_HAL_01420	01420	HALL	Kim 	A01N02	 Merci, Léontine.	Thank you, Léontine.	Done
A01N02_NAR_BLA_01430	01430	BLACK_SCREEN	NARRATEUR 	A01N02	 Qu’est-ce que c’est ? Je sens une odeur de fumée… Oh ! Mes oreilles ! C’est l’alarme incendie ? J’aurais peut-être dû écouter Léontine quand elle me disait de suivre Ernest ! Il faut sortir d’ici au plus vite…	What’s that? I smell smoke… Ouch! My ears! Is that the fire alarm? I should have listened to Léontine when she told me to follow Ernest! We need to get out of there the fastest possible.	Done
A01N02_NAR_BLA_01440	01440	BLACK_SCREEN	NARRATEUR 	A01N02	 Nous sommes tous en sécurité… Mais le temps que les pompiers arrivent, le Manoir a brûlé. Les pierres sont encore là, mais les meubles anciens, les rideaux, les parquets… Il faudra faire de grands travaux pour tout remettre en état. Seule Abigail a accepté de le récupérer malgré les dégâts.	We’re all safe… But by the time the firemen arrive, the Manor is burnt. The stones are still there, but the ancient furniture, the curtains, the wooden floors, everything will need much repair. Abigail is the only one who accepted to take the Manor in this state.	Done
A01N02_NAR_BLA_01450	01450	BLACK_SCREEN	NARRATEUR 	A01N02	 Ernest a disparu. Apparemment, il s’est vraiment senti au pied du mur quand je l’ai confronté. Tic tac tic tac… Toujours à regarder sa montre, à voir le temps passer, à voir ses options se refermer. Désirée lui a mis la pression par rapport à ce qu’elle avait investi dans la startup. Elle voulait qu’il séduise Abigail, récupère le Manoir et le vende pour sauver leur boîte. Après ses nombreux messages et mon refus de le laisser faire, il a réagi de manière irrationnelle.	Ernest disappeared. Apparently, he felt like he had no choice when I confronted him. Tic tac tic tac… Always looking at his watch, seeing time pass by, his options flying away. Désirée put pressure on him as she invested a lot in their company. She wanted him to seduce Abigail, get the Manor for himself and sell it to save the startup. After her numerous messages and my opposition to him, he reacted in a totally irrational manner.	Done
A01N02_NAR_BLA_01460	01460	BLACK_SCREEN	NARRATEUR 	A01N02	 Toute cette histoire me laisse le goût amer de l’échec dans la bouche. Célestia m’avait demandé d’éviter les tragédies…	This whole story leaves me with a bitter taste of failure. Célestia asked me so clearly to avoid any tragedies…	Done
A01N02_NAR_LIV_01470	01470	LIVINGROOM	NARRATEUR 	A01N02	 Qu’est-ce que ça sent mauvais…	What a horrible smell…	Done
A01N02_Kim_LIV_01480	01480	LIVINGROOM	Kim 	A01N02	 Ernest ?	Ernest?	Done
A01N02_NAR_LIV_01490	01490	LIVINGROOM	NARRATEUR 	A01N02	 Qu’est-ce qu’il fait ? Il est en train d’arroser les rideaux et le plancher d’essence ?	What’s he doing? Is he really pouring fuel on the curtains and the wooden floor?	Done
A01N02_Kim_LIV_01500	01500	LIVINGROOM	Kim 	A01N02	 Ernest, qu’est-ce que tu fais ?	Ernest, what are you doing?	Done
A01N02_NAR_LIV_01510	01510	LIVINGROOM	NARRATEUR 	A01N02	 Il a l’air coupable…	He seems guilty…	Done
A01N02_Ern_LIV_01520	01520	LIVINGROOM	Ernest 	A01N02	 R… rien ?	N… Nothing?	Done
A01N02_Kim_LIV_01530	01530	LIVINGROOM	Kim 	A01N02	 Ne me prends pas pour un#e||•e# imbécile. Tu as un briquet et des allumettes à la main, et ça sent l’essence.	Don’t take me for a fool. You are holding matches and a lighter, and it stinks of fuel.	Done
A01N02_NAR_LIV_01540	01540	LIVINGROOM	NARRATEUR 	A01N02	 Face au constat, il s’énerve d’un coup.	At these facts, he explodes.	Done
A01N02_Ern_LIV_01550	01550	LIVINGROOM	Ernest 	A01N02	 Eh bien quoi ? Je ne vais pas pouvoir avoir ce que je veux ici de toute façon, à cause de toi ! Alors autant que ça brûle ! Comme ça personne n’aura rien !	So what? I can’t have what I came here for anyway, because of you! So let everything burn and no one have anything!	Done
A01N02_Kim_LIV_01560	01560	LIVINGROOM	Kim 	A01N02	 De quoi tu parles ?	What are you talking about?	Done
A01N02_Ern_LIV_01570	01570	LIVINGROOM	Ernest 	A01N02	 Je parle de W&W ! Je parle de ce que tu as découvert sur Désirée ! De son plan pour que je me rapproche d’Abigail ! Je l’ai appelée… Je lui ai dit que tu savais tout… A cause de toi je n’ai plus aucune chance de récupérer le Manoir et des fonds pour éviter de couler. Elle est tellement en colère. Je n’ai pas le choix, j’ai tout perdu, je ne sais pas ce dont elle est capable pour se venger. Alors… Alors…	I’m talking about W&W! I’m talking about what you discovered about Désirée! Of her plan to get close to Abigail! I called her… I told her you knew everything… Because of you, I have zero chance to get the Manor and the money that goes with it. Because of you, I can’t avoid liquidation. She’s so, so, so mad… So… So…	Done
A01N02_Kim_LIV_01580	01580	LIVINGROOM	Kim 	A01N02	 Lui parler	Talk to him	Done
A01N02_Kim_LIV_01590	01590	LIVINGROOM	Kim 	A01N02	 Tu te prends vraiment pour un ami de la famille ? A vouloir tout brûler parce que tout ne se passe pas comme tu veux ? Tu agis comme un enfant capricieux, égoïste et manipulateur, Ernest ! J’avais de meilleurs souvenirs de toi que ça. Des souvenirs d’un garçon courageux, prêt à prendre des risques pour protéger ses amis.	Do you really consider yourself as a friend of the family? Wanting to burn everything because things aren’t going your way? You’re acting like a capricious, egoist and manipulating child, Ernest! I’d better memories of you than that. I remember a brave boy, ready to take risks to protect his friends.	Done
A01N02_Ern_LIV_01600	01600	LIVINGROOM	Ernest 	A01N02	 C’était il y a longtemps.	That was a long time ago.	Done
A01N02_Kim_LIV_01610	01610	LIVINGROOM	Kim 	A01N02	 Tu as raison	You’re right	Done
A01N02_Kim_LIV_01620	01620	LIVINGROOM	Kim 	A01N02	 En effet, c’est sûr que je ne te reconnais plus… Qu’est-ce qu’il s’est passé ? Comment est-ce que tu as fait pour changer autant ? Tu es fier de toi ?	Indeed, I don’t recognize you anymore. What happened for you to change so much? Are you proud of yourself?	Done
A01N02_Ern_LIV_01630	01630	LIVINGROOM	Ernest 	A01N02	 Pas fier. Tu ne peux pas comprendre. Je n’ai juste pas le choix.	No, I’m not. You can’t understand. I just don’t have a choice.	Done
A01N02_NAR_LIV_01640	01640	LIVINGROOM	NARRATEUR 	A01N02	 Il allume une allumette.	He lights a match.	Done
A01N02_Kim_LIV_01650	01650	LIVINGROOM	Kim 	A01N02	 Tu as tort	You’re wrong	Done
A01N02_Kim_LIV_01660	01660	LIVINGROOM	Kim 	A01N02	 Vraiment ? Tu continues à prendre des risques, tu as lancé ta propre boîte, il faut du courage pour se jeter dans cette aventure. Et n’es-tu plus capable de protéger tes amis ?	Really? You keep taking risks. You launched your own company, and you need to be pretty brave to start such an adventure. And aren’t you still able to protect your friends?	Done
A01N02_Ern_LIV_01670	01670	LIVINGROOM	Ernest 	A01N02	 Je… Mais je suis dans une situation insoluble, Kim.	I… But I’m in a dead way, Kim.	Done
A01N02_Kim_LIV_01680	01680	LIVINGROOM	Kim 	A01N02	 C’est faux. Je suis sûr que tu peux t’en sortir par d’autres moyens. Des moyens qui ne blesseront pas les gens autour de toi.	That’s not true. I’m sure you can find loads of ways for things to get better, ways that won’t hurt the people around you.	Done
A01N02_NAR_LIV_01690	01690	LIVINGROOM	NARRATEUR 	A01N02	 Il a l’air de m’écouter. Il a baissé son bras tenant le briquet…	He seems to be listening to me. He put down the arm holding the lighter…	Done
A01N02_Kim_LIV_01700	01700	LIVINGROOM	Kim 	A01N02	 L’arrêter	Stop him	Done
A01N02_NAR_LIV_01710	01710	LIVINGROOM	NARRATEUR 	A01N02	 Je me jette sur lui pour essayer de lui retirer les allumettes des mains.	I throw myself at him to try to get the matches out of his hands.	Done
A01N02_NAR_LIV_01720	01720	LIVINGROOM	NARRATEUR 	A01N02	 Surpris, il recule, mais quand je lui arrache le briquet des mains, il n’a pas le temps d’analyser la situation pour m’en empêcher.	Surprised, he steps back, but when I take away his lighter, he doesn’t have time to analyze the situation or to stop me.	Done
A01N02_Kim_LIV_01730	01730	LIVINGROOM	Kim 	A01N02	 Est-ce que tu peux poser les allumettes ?	Can you put the matches down?	Done
A01N02_NAR_LIV_01740	01740	LIVINGROOM	NARRATEUR 	A01N02	 Surpris, il recule, et lâche l’allumette.	Surprised, he steps back, and the lightened match falls down.	Done
A01N02_NAR_LIV_01750	01750	LIVINGROOM	NARRATEUR 	A01N02	 Surpris, il recule. Plus grand et plus fort que moi, il n’a aucun mal à lever les bras pour m’empêcher de lui retirer ses armes.	Surprised, he steps back. Taller and stronger than me, he doesn’t have any difficulty putting his arms high above so I can’t take his weapon away.	Done
A01N02_Ern_LIV_01760	01760	LIVINGROOM	Ernest 	A01N02	 Ne m’oblige pas à te faire mal, Kim !	Don’t force me to hurt you, Kim!	Done
A01N02_NAR_LIV_01770	01770	LIVINGROOM	NARRATEUR 	A01N02	 Il est plus fort que moi. Je ne pourrai pas l’arrêter comme ça…	He’s stronger than me. I can’t stop him this way…	Done
A01N02_Kim_LIV_01780	01780	LIVINGROOM	Kim 	A01N02	 Appeler à l’aide	Call for help	Done
A01N02_Kim_LIV_01790	01790	LIVINGROOM	Kim 	A01N02	 Léontine ! Geoffroy !	Léontine! Geoffroy!	Done
A01N02_NAR_LIV_01800	01800	LIVINGROOM	NARRATEUR 	A01N02	 Ernest panique.	Ernest panicks.	Done
A01N02_Ern_LIV_01810	01810	LIVINGROOM	Ernest 	A01N02	 Mais tais-toi !	Be quiet!	Done
A01N02_Kim_LIV_01820	01820	LIVINGROOM	Kim 	A01N02	 Si tu ne veux pas qu’ils te voient comme ça, donne-moi le briquet et les allumettes, on leur dira que tu as renversé l’essence sans faire exprès.	If you don’t want them to see you like that, give me the lighter and the matches. We’ll tell them you poured fuel by clumsiness.	Done
A01N02_Ern_LIV_01830	01830	LIVINGROOM	Ernest 	A01N02	 Mais pourquoi tu les appelles ? Je peux nettoyer ça sans eux, il ne faut pas qu’ils sachent !	But why are you calling them? I can clean up everything without them, they mustn’t know!	Done
A01N02_NAR_LIV_01840	01840	LIVINGROOM	NARRATEUR 	A01N02	 Il continue à paniquer.	He keeps panicking.	Done
A01N02_Kim_LIV_01850	01850	LIVINGROOM	Kim 	A01N02	 Alors donne-moi le briquet, s’il te plait.	Then give me the lighter, please.	Done
A01N02_NAR_LIV_01860	01860	LIVINGROOM	NARRATEUR 	A01N02	 Il hésite, puis me le lance en cloche. Je l’attrape sans problème.	He hesitates, and then throws it to me nicely. I catch it easily.	Done
A01N02_NAR_LIV_01870	01870	LIVINGROOM	NARRATEUR 	A01N02	 Visiblement, il ne veut pas que d’autres personnes soient au courant que c’est lui…	Apparently he doesn’t want other people to know what’s going on…	Done
A01N02_Kim_LIV_01880	01880	LIVINGROOM	Kim 	A01N02	 Crier plus fort	Yell louder	Done
A01N02_Kim_LIV_01890	01890	LIVINGROOM	Kim 	A01N02	 LEONTINE ! GEOFFROY ! A L’AIDE !	LEONTINE! GEOFFROY! HELP!	Done
A01N02_NAR_LIV_01900	01900	LIVINGROOM	NARRATEUR 	A01N02	 Ernest panique. Il n’a plus que quelques instants pour se décider… Soudain, il souffle sur l’allumette.	Ernest panicks. He only has a few seconds to take his decision… Suddenly, he blows on the match.	Done
A01N02_Ern_LIV_01910	01910	LIVINGROOM	Ernest 	A01N02	 C’est bon, c’est bon, elle est éteinte, arrête ! Je veux pas qu’on me voie comme ça… Je suis déjà assez pathétique…	Alright, alright, it’s out, stop it! I don’t want to be seen like this… I’m so pathetic already…	Done
A01N02_Kim_LIV_01920	01920	LIVINGROOM	Kim 	A01N02	 Alors donne-moi le briquet, s’il te plait.	Then give me the lighter, please.	Done
A01N02_NAR_LIV_01930	01930	LIVINGROOM	NARRATEUR 	A01N02	 Il hésite, puis me le lance en cloche. Je l’attrape sans problème.	He hesitates, and then throws it to me nicely. I catch it easily.	Done
A01N02_Kim_LIV_01940	01940	LIVINGROOM	Kim 	A01N02	 Se taire	Be quiet	Done
A01N02_NAR_LIV_01950	01950	LIVINGROOM	NARRATEUR 	A01N02	 Je me tais, espérant qu’il y verra un signe de bonne volonté. Il rit nerveusement.	I stop yelling, hoping that he’ll see there a sign of good will. He laughs nervously.	Done
A01N02_Ern_LIV_01960	01960	LIVINGROOM	Ernest 	A01N02	 Manquerait plus que ça, que tout le monde débarque pour voir le spectacle… Je suis déjà assez pathétique comme ça…	That’s the last thing I want, everyone barging in to see the show… I’m pathetic enough as it is…	Done
A01N02_NAR_LIV_01970	01970	LIVINGROOM	NARRATEUR 	A01N02	 Il regarde d’un air anxieux vers la porte, puis, me regardant droit dans les yeux, il lâche l’allumette.	He looks anxiously at the door, then stares at me, right in the eyes, and let the lighted match fall down.	Done
A01N02_NAR_LIV_01980	01980	LIVINGROOM	NARRATEUR 	A01N02	 Elle tombe sur le parquet imbibé d’essence, qui prend immédiatement feu. Je recule vivement, et nous sommes bientôt séparés par un mur de flammes. Il me lance un regard de défi et ouvre la fenêtre. Sous le courant d’air, les flammes gagnent encore en hauteur. La chaleur est insupportable. Alors qu’il passe par la fenêtre pour s’enfuir, je cours dans l’autre sens pour quitter la salle par la porte. Je hurle pour prévenir les autres. Léontine, qui n’est jamais très loin, active une alarme incendie qui bientôt nous déchire les oreilles. Voilà qui est efficace… Nous quittons tous le Manoir pour nous retrouver dans le jardin.	It hits the wooden floor soaked with fuel, immediately setting it on fire. I quickly step back, and we are soon separated by a wall of flames. He glares at me with a challenge in his eyes and open the window. Under the draught, flames jump higher and higher. The heat is unsustainable. While he goes through the window to flee, I run in the opposite direction to leave the room through the door. I yell as loud as I can to alert the others. Léontine, who’s never too far away, activates the fire alarm, which soon rends our ears. That’s efficient… We leave the Manor and find each other in the garden.	Done
A01N02_NAR_LIV_01990	01990	LIVINGROOM	NARRATEUR 	A01N02	 Nous sommes tous en sécurité… Mais le temps que les pompiers arrivent, le Manoir a brûlé. Les pierres sont encore là, mais les meubles anciens, les rideaux, les parquets… Il faudra faire de grands travaux pour tout remettre en état. Seule Abigail a accepté de le récupérer malgré les dégâts.	Everyone’s safe… But by the time the firemen arrive, the Manor is burnt. The stones are still there, but the ancient furniture, the curtains, the wooden floors, everything will need much repair. Abigail is the only one who accepted to take the Manor in this state.	Done
A01N02_NAR_LIV_02000	02000	LIVINGROOM	NARRATEUR 	A01N02	 Ernest a disparu. Apparemment, il s’est vraiment senti au pied du mur quand je l’ai confronté. Tic tac tic tac… Toujours à regarder sa montre, à voir le temps passer, à voir ses options se refermer.	Ernest disappeared. Apparently, he felt like he had no choice when I confronted him. Tic tac tic tac… Always looking at his watch, seeing time pass by, his options flying away.	Done
A01N02_NAR_LIV_02010	02010	LIVINGROOM	NARRATEUR 	A01N02	 Toute cette histoire me laisse le goût amer de l’échec dans la bouche. Célestia m’avait demandé d’éviter les tragédies…	This whole story leaves me with a bitter taste of failure. Célestia asked me so clearly to avoid any tragedies…	Done
A01N02_Kim_LIV_02020	02020	LIVINGROOM	Kim 	A01N02	 Est-ce que tu peux poser les allumettes ?	Can you put the matches down?	INUTILE
A01N02_NAR_LIV_02030	02030	LIVINGROOM	NARRATEUR 	A01N02	 A-t-il vraiment le choix, maintenant ? Ses épaules s’affaissent.	Does he really have a choice now? His shoulders cave in.	Done
A01N02_Ern_LIV_02040	02040	LIVINGROOM	Ernest 	A01N02	 D’accord.	Okay.	Done
A01N02_Kim_LIV_02050	02050	LIVINGROOM	Kim 	A01N02	 Et me promettre de ne pas refaire quelque chose d’irrationnel quand j’aurais le dos tourné ? Laisse-moi gérer la situation. Fais-moi confiance. Tout ira bien.	Can you promise me not to do anything irrational when I’m not looking? Let me handle the situation. Trust me. Everything will be fine.	Done
A01N02_Ern_LIV_02060	02060	LIVINGROOM	Ernest 	A01N02	 C’était moi l’optimiste, avant.	And I was the optimist one.	Done
A01N02_Kim_LIV_02070	02070	LIVINGROOM	Kim 	A01N02	 Nous avons grandi.	We grew up.	Done
A01N02_Ern_LIV_02080	02080	LIVINGROOM	Ernest 	A01N02	 J’espère. Qu’est-ce que je vais faire, maintenant ?	Right. What am I going to do now?	Done
A01N02_Kim_LIV_02090	02090	LIVINGROOM	Kim 	A01N02	 Maintenant, tu vas aller voir Léontine et lui demander une serpillère. Tu nettoies tout ça et tu ouvres les fenêtres avant que quelqu’un d’autre ne remarque cette horrible odeur… Et puis tu te reposes et tu me laisses faire. Je reviendrai te parler quand tu auras terminé.	Now, you’re going to see Léontine and ask for a mop. You’re going to clean all this up and open the windows before someone notices this horrible smell. And then you’re going to rest and let me handle things. I’ll come back to talk to you when you’re done.	Done
A01N02_Ern_LIV_02100	02100	LIVINGROOM	Ernest 	A01N02	D’accord, Kim.	Alright, Kim.	Done
A01N02_NAR_LIV_02110	02110	LIVINGROOM	NARRATEUR 	A01N02	 Je m’étonne moi-même… Je ne pensais pas pouvoir prendre aussi bien contrôle de la situation. En tout cas, on a eu chaud. Un peu plus et le Manoir devenait une fournaise.	I surprise myself… I didn’t think I could take over so well. Anyway, that was close. The Manor almost became an inferno.	Done
A01N02_Léo_LIV_02120	02120	LIVINGROOM	Léontine 	A01N02	 #Mme|M.|Mx# Luong ? J’ai vu Ernest partir vers le salon, suivi de Geoffroy, et, et… Geoffroy avait un grand couteau de cuisine à la main, et une expression que je ne lui ai jamais vue. Cela m’inquiète. A votre place, j’irai voir ce qu’il en est.	#Mrs.|Mr.|Mx.# Luong? I saw Ernest leave to the sittin’ room followed by Geoffroy, and, and… Geoffroy had a long kitchen knife in his hand, and I’ve never seen him like this. I’m worried. If I were you, I’d go see what’s goin’ on.	Done
A01N02_Kim_LIV_02130	02130	LIVINGROOM	Kim 	A01N02	 Merci, Léontine.	Thank you, Léontine.	Done
A01N02_???_BLA_02140	02140	BLACK_SCREEN	??? 	A01N02	 AAAAAAAAAAAAAAAAH !	"AAAAAAAAAAAAAAAAH !	"	Done
A01N02_NAR_BLA_02150	02150	BLACK_SCREEN	NARRATEUR 	A01N02	 Qu’est-ce que c’est ?	What’s that?	Done
A01N02_???_BLA_02160	02160	BLACK_SCREEN	??? 	A01N02	 AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAH !	AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAH !	Done
A01N02_NAR_BLA_02170	02170	BLACK_SCREEN	NARRATEUR 	A01N02	 Vite, il faut que j’aille voir !	Quick, I need to check on that!	Done
A01N02_NAR_BLA_02180	02180	BLACK_SCREEN	NARRATEUR 	A01N02	 …	…	Done
A01N02_NAR_BLA_02190	02190	BLACK_SCREEN	NARRATEUR 	A01N02	 …	…	INUTILE
A01N02_NAR_BLA_02200	02200	BLACK_SCREEN	NARRATEUR 	A01N02	 …	…	INUTILE
A01N02_NAR_BLA_02210	02210	BLACK_SCREEN	NARRATEUR 	A01N02	 Je n’oublierai jamais cette scène. Le sang sur le plancher. Le visage figé et surpris de mon ancien ami Ernest. Le manche du couteau qui dépassait encore de son flanc… Si j’avais écouté Léontine, aurais-je pu l’arrêter ? Et Geoffroy, aurais-je pu deviner qu’il avait des tendances meurtrières ? Il n’a même pas fui la scène. Il m’a regardé#e||•e# droit dans les yeux, avant de me dire doucement § « Vous devriez appeler la police, #Mme|M.|Mx# Luong. Et empêcher les autres de voir ce triste spectacle… » Il est resté là, tranquillement, jusqu’à l’arrivée des policiers, et les a suivis sans faire d’histoires. Je suis allé#e||•e# à son procès. Il a plaidé coupable, a témoigné sans hésitation § « J’ai toujours servi loyalement mes maîtres. Le Manoir a fait partie de leur famille pendant des générations. Jamais je n’aurai pu laisser un étranger manipulateur faire du mal à la petite Abigail que j’ai vu grandir, jamais je n’aurai pu le laisser mettre la main sur un héritage qui ne lui revenait pas de droit. J’ai fait ce que je ne pouvais pas ne pas faire. Je suis prêt à en subir toutes les conséquences. »	I’ll never forget what I saw§ the blood on the floor; the surprised face of my old friend Ernest. The handle of the knife coming out of his side… If I’d listened to Léontine, could I have stopped it? And Geoffroy, could I have guessed that he could be a cold blooded murderer? He didn’t even run away. He looked at me right in the eyes and said, “you should call the police, #Mrs.|Mr.|Mx.# Luong, and close the door so the others do not see this sinister scene…” He stayed there, calmly, until the police arrived, and was arrested without a word of protestation from him. I went to his trial. He pleaded guilty and testified without hesitation§ “I’ve always been loyal to my masters. The Manor has been part of the family for generations. I could never have let a manipulating stranger hurt dear Abigail who grew up under my care. I could never have let him embezzle an heirloom that wasn’t his by right. I did what I couldn’t not do. I am ready to suffer the consequences.”	Done
A01N02_NAR_BLA_02220	02220	BLACK_SCREEN	NARRATEUR 	A01N02	 Le Manoir a été partagé entre Abigail et Hippolyte.	The Manor was shared between Abigail and Hippolyte.	Done
A01N02_NAR_BLA_02230	02230	BLACK_SCREEN	NARRATEUR 	A01N02	 Le Manoir a été partagé entre Abigail, Hippolyte et Ophélie.	The Manor was shared between Abigail, Hippolyte and Ophélie.	Done
A01N02_NAR_BLA_02240	02240	BLACK_SCREEN	NARRATEUR 	A01N02	 Je ne me sentais plus d’accomplir ma mission après cet événement tragique. Tellement de regrets…	I couldn’t accomplish my task after this tragic event. I’ve so many regrets…	Done
A01N02_NAR_LIV_02250	02250	LIVINGROOM	NARRATEUR 	A01N02	 Qu’est-ce que…	What’s…	Done
A01N02_NAR_LIV_02260	02260	LIVINGROOM	NARRATEUR 	A01N02	 !	!	Done
A01N02_NAR_LIV_02270	02270	LIVINGROOM	NARRATEUR 	A01N02	 Quelques secondes seulement pour comprendre ce qu’il se passe. Pour voir Ernest, souriant, parler à Geoffroy. Pour voir le couteau que Geoffroy serre dans son dos. Pour comprendre qu’il compte l’utiliser, qu’il attend seulement le bon moment. Pour… trouver une idée.	I only have a few seconds to understand what’s happening; to see Ernest, smiling, and talking to Geoffroy; to see the knife Geoffroy’s holding behind his back; to understand that he really wants to use it, that he’s only waiting for the right moment; to… find an idea.	Done
A01N02_Kim_LIV_02280	02280	LIVINGROOM	Kim 	A01N02	 Appeler Geoffroy	Call Geoffroy	Done
A01N02_Kim_LIV_02290	02290	LIVINGROOM	Kim 	A01N02	 Geoffroy ! 	Geoffroy! 	Done
A01N02_NAR_LIV_02300	02300	LIVINGROOM	NARRATEUR 	A01N02	 Il sursaute.	He jumps.	Done
